invoice_no,customer_id,category,quantity,price,invoice_date,shopping_mall
I202367,C317478,Books,3,1871.49,24-02-2023,Istinye Park
I664787,C237330,Cosmetics,2,3773.74,12-01-2023,Istinye Park
I160777,C626042,Technology,4,3222.42,22-02-2022,Metrocity
I137794,C133687,Food & Beverage,3,4631.99,12-03-2021,Viaport Outlet
I148377,C841663,Clothing,1,5140.88,02-01-2022,Istinye Park
I258195,C213742,Toys,2,6268.08,26-11-2021,Kanyon
I300213,C962515,Clothing,4,6798.09,21-04-2021,Kanyon
I263803,C112279,Food & Beverage,3,4756.45,23-06-2021,Kanyon
I335713,C158837,Books,4,1104.2,14-12-2021,Kanyon
I133061,C336576,Clothing,5,3763.38,09-06-2022,Mall of Istanbul
I207205,C716161,Clothing,1,7857.42,26-11-2021,Kanyon
I209289,C439382,Clothing,4,5404.7,05-02-2021,Kanyon
I157285,C123427,Clothing,4,9692.88,06-03-2022,Mall of Istanbul
I218590,C224743,Cosmetics,4,1867.81,09-05-2022,Metropol AVM
I181109,C119549,Toys,3,8604.09,17-10-2022,Mall of Istanbul
I221715,C187266,Food & Beverage,3,2992.46,22-01-2022,Cevahir AVM
I204979,C173084,Souvenir,5,913.45,14-03-2021,Istinye Park
I115146,C126956,Cosmetics,5,4526.8,27-04-2022,Metrocity
I883721,C236859,Technology,5,4568.6,19-11-2021,Mall of Istanbul
I402376,C309926,Shoes,5,9378.19,10-09-2022,Forum Istanbul
I251356,C493252,Cosmetics,4,8329.62,04-09-2021,Kanyon
I292239,C109871,Food & Beverage,5,9699.7,21-08-2022,Mall of Istanbul
I276526,C136117,Shoes,5,2461.65,02-10-2021,Emaar Square Mall
I260525,C258404,Toys,3,6448.99,07-01-2023,Emaar Square Mall
I870944,C169749,Souvenir,3,8957.22,08-06-2021,Cevahir AVM
I739573,C199947,Clothing,5,5152.07,17-04-2021,Kanyon
I115870,C135790,Shoes,4,9506.18,04-09-2021,Metrocity
I190444,C606418,Food & Beverage,5,5477.97,20-07-2022,Mall of Istanbul
I309552,C111611,Food & Beverage,4,6974.01,14-07-2021,Istinye Park
I306076,C679476,Toys,2,4240.42,01-11-2022,Emaar Square Mall
I321683,C542025,Cosmetics,4,4036.85,06-01-2023,Metrocity
I151332,C168491,Souvenir,2,9593.7,25-03-2021,Kanyon
I340014,C169650,Clothing,2,4396.21,08-09-2022,Istinye Park
I249424,C158160,Food & Beverage,1,1971.67,18-02-2022,Mall of Istanbul
I227716,C552345,Food & Beverage,2,3667.27,22-04-2021,Kanyon
I140663,C218383,Clothing,5,9697.12,15-10-2022,Zorlu Center
I253242,C309438,Shoes,5,7828.45,07-04-2022,Mall of Istanbul
I108359,C253905,Food & Beverage,1,9477.12,07-06-2022,Mall of Istanbul
I195567,C992677,Clothing,4,927.58,22-01-2023,Metropol AVM
I289643,C584700,Technology,2,7078.82,22-08-2022,Kanyon
I722319,C157070,Toys,1,3944.15,03-10-2021,Kanyon
I317105,C177975,Souvenir,5,4806.4,29-07-2021,Kanyon
I215721,C830576,Cosmetics,2,320.47,16-12-2022,Metrocity
I154469,C807389,Toys,3,3213.54,03-06-2021,Mall of Istanbul
I172458,C277842,Clothing,2,7964.61,17-12-2021,Cevahir AVM
I297270,C183011,Clothing,5,2796.5,31-12-2022,Metropol AVM
I153930,C567813,Food & Beverage,3,2836.37,09-08-2022,Forum Istanbul
I282854,C282974,Clothing,3,4242.24,31-07-2022,Kanyon
I869144,C181972,Food & Beverage,4,8507.47,04-05-2021,Mall of Istanbul
I283443,C189493,Technology,3,4205.77,25-05-2022,Viaport Outlet
I193271,C242748,Food & Beverage,3,7493.7,23-12-2022,Kanyon
I985478,C324683,Clothing,4,9435.87,24-01-2023,Kanyon
I200392,C307921,Clothing,5,1517.68,14-09-2021,Viaport Outlet
I256691,C152549,Cosmetics,1,6748.21,04-02-2022,Metrocity
I796162,C111832,Food & Beverage,5,1693.75,06-01-2022,Metrocity
I224371,C204174,Clothing,5,1007.4,01-02-2022,Mall of Istanbul
I215998,C279370,Clothing,5,7805.13,26-10-2022,Cevahir AVM
I338966,C907582,Clothing,5,2882.82,21-09-2022,Mall of Istanbul
I293215,C166635,Cosmetics,4,1788.69,12-12-2021,Istinye Park
I149688,C276043,Clothing,4,7883.26,21-08-2021,Zorlu Center
I109649,C282643,Food & Beverage,3,2169.86,08-10-2021,Emaar Square Mall
I299820,C820515,Books,3,4121.65,22-11-2021,Kanyon
I157775,C331761,Clothing,1,171.49,19-03-2022,Kanyon
I317140,C326893,Souvenir,5,3611.72,19-10-2022,Istinye Park
I147334,C306395,Clothing,2,2299.32,12-01-2022,Viaport Outlet
I278121,C885344,Toys,4,1610.75,07-06-2021,Metrocity
I134452,C112750,Clothing,1,6704.77,15-01-2023,Forum Istanbul
I320846,C274870,Clothing,4,8894.41,11-11-2021,Kanyon
I740676,C199864,Clothing,2,3580.56,21-09-2022,Istinye Park
I142331,C997380,Cosmetics,4,113.84,30-05-2021,Metrocity
I222983,C132002,Clothing,1,6013.89,23-12-2021,Metropol AVM
I164665,C255058,Technology,2,3067.75,30-04-2022,Kanyon
I133387,C271799,Toys,4,9690.49,07-06-2021,Forum Istanbul
I276763,C765620,Toys,5,4120.75,21-02-2022,Kanyon
I273890,C891545,Clothing,3,207.28,26-08-2021,Emaar Square Mall
I774221,C519513,Food & Beverage,5,3790.06,15-12-2021,Metrocity
I202171,C125624,Clothing,1,5966.93,20-02-2021,Mall of Istanbul
I219780,C658980,Clothing,2,5448.13,08-10-2021,Kanyon
I160221,C319231,Clothing,3,8975.28,01-08-2022,Mall of Istanbul
I106691,C150594,Clothing,4,5868.59,09-09-2021,Kanyon
I129886,C846730,Food & Beverage,5,7300.63,25-10-2021,Metrocity
I745394,C249877,Food & Beverage,1,6481.99,14-12-2021,Metropol AVM
I157056,C200826,Clothing,5,8381.67,20-06-2021,Kanyon
I304531,C263874,Clothing,1,172.57,07-04-2021,Metropol AVM
I762439,C663463,Books,4,7545.34,05-12-2021,Metrocity
I300972,C134370,Cosmetics,1,2957.35,25-05-2021,Zorlu Center
I151588,C310642,Books,3,9808.13,12-04-2022,Metrocity
I657069,C651699,Clothing,4,6025.43,16-12-2021,Mall of Istanbul
I122655,C989693,Technology,2,9992.34,21-02-2021,Metropol AVM
I236914,C123581,Clothing,3,3979.75,26-10-2021,Mall of Istanbul
I247471,C192446,Toys,1,8047.3,18-12-2022,Mall of Istanbul
I362306,C143343,Clothing,1,4453.27,19-09-2022,Metrocity
I215279,C223343,Clothing,2,4211.7,01-02-2023,Kanyon
I216061,C309082,Food & Beverage,3,4272.23,05-10-2022,Mall of Istanbul
I246375,C236365,Cosmetics,2,2772.5,28-11-2021,Kanyon
I103596,C178734,Shoes,5,2038.05,03-08-2021,Kanyon
I259878,C223010,Clothing,4,614.09,12-10-2022,Metropol AVM
I206422,C289933,Food & Beverage,2,4271.22,28-09-2022,Kanyon
I201704,C340116,Food & Beverage,3,7025.37,12-07-2021,Metrocity
I168037,C816586,Toys,4,8559.39,03-07-2021,Mall of Istanbul
I307534,C434171,Cosmetics,4,4413.38,26-03-2022,Viaport Outlet
I259196,C215384,Toys,4,2436.81,17-05-2022,Cevahir AVM
I141241,C143442,Souvenir,5,5150.06,11-04-2022,Kanyon
I289973,C102926,Food & Beverage,5,3759.0,22-10-2021,Kanyon
I147203,C340063,Cosmetics,5,613.16,20-12-2021,Istinye Park
I323788,C131786,Clothing,1,4629.74,17-03-2022,Metropol AVM
I285454,C194380,Souvenir,5,8105.05,23-06-2022,Metropol AVM
I288152,C269623,Technology,3,9064.56,19-06-2021,Mall of Istanbul
I134126,C847171,Clothing,1,7514.34,30-08-2022,Istinye Park
I311052,C556552,Clothing,4,8257.8,20-11-2021,Cevahir AVM
I176469,C876528,Food & Beverage,2,8168.87,31-07-2021,Viaport Outlet
I167993,C303493,Toys,2,7362.67,20-02-2022,Kanyon
I222086,C978718,Clothing,5,6091.88,09-02-2023,Emaar Square Mall
I164597,C111766,Clothing,1,955.55,24-03-2021,Mall of Istanbul
I184307,C175946,Food & Beverage,1,244.38,25-08-2022,Kanyon
I289905,C160005,Cosmetics,4,1029.84,21-10-2021,Kanyon
I416544,C599109,Food & Beverage,2,1792.79,28-05-2022,Metrocity
I601026,C693789,Souvenir,5,648.08,05-03-2022,Zorlu Center
I257890,C259342,Shoes,1,6702.46,05-10-2021,Kanyon
I260028,C208108,Clothing,4,4518.56,16-04-2021,Metropol AVM
I170160,C244213,Toys,2,4245.64,26-02-2023,Metrocity
I624164,C102685,Clothing,1,2596.52,20-03-2021,Kanyon
I143353,C244291,Souvenir,5,7771.92,15-05-2022,Metrocity
I278401,C162371,Toys,1,3981.32,31-01-2023,Mall of Istanbul
I402966,C375422,Cosmetics,4,526.48,02-10-2021,Viaport Outlet
I244241,C911768,Clothing,5,391.15,03-08-2022,Viaport Outlet
I179048,C270129,Technology,3,2723.38,28-03-2021,Cevahir AVM
I165202,C617189,Cosmetics,4,834.7,21-11-2022,Mall of Istanbul
I328321,C271029,Souvenir,2,160.6,12-02-2021,Metropol AVM
I417106,C292356,Clothing,3,356.37,03-04-2021,Cevahir AVM
I248153,C329633,Food & Beverage,1,6879.14,03-07-2022,Metropol AVM
I112270,C244780,Food & Beverage,4,618.57,14-02-2021,Mall of Istanbul
I318831,C139568,Cosmetics,4,4398.73,15-07-2022,Viaport Outlet
I258322,C220281,Clothing,4,4183.98,12-07-2021,Viaport Outlet
I334246,C311034,Cosmetics,3,1903.84,19-05-2022,Mall of Istanbul
I198233,C584141,Cosmetics,4,9655.27,13-02-2023,Metropol AVM
I310819,C221934,Cosmetics,5,7960.01,27-11-2022,Forum Istanbul
I409288,C513561,Food & Beverage,3,7309.92,02-03-2021,Viaport Outlet
I131054,C257990,Toys,4,1272.08,16-10-2021,Kanyon
I149521,C168348,Clothing,2,1822.23,04-11-2021,Kanyon
I156233,C161285,Clothing,1,3325.09,11-01-2023,Mall of Istanbul
I295784,C166191,Cosmetics,3,4302.21,08-06-2022,Forum Istanbul
I255381,C172966,Clothing,4,1605.39,24-05-2021,Metrocity
I337719,C320928,Cosmetics,5,2103.02,18-01-2021,Istinye Park
I220863,C131497,Books,4,575.19,22-07-2021,Mall of Istanbul
I530401,C526660,Technology,2,4619.4,25-09-2022,Zorlu Center
I219555,C266961,Clothing,3,6367.6,10-09-2021,Metrocity
I316629,C204741,Souvenir,3,7596.96,16-01-2022,Cevahir AVM
I795251,C181619,Cosmetics,5,7542.49,13-11-2022,Kanyon
I151099,C250395,Souvenir,2,9581.85,14-03-2021,Mall of Istanbul
I286193,C322994,Cosmetics,3,4599.42,23-07-2022,Istinye Park
I399563,C250673,Toys,1,5991.53,24-06-2021,Metropol AVM
I229355,C192978,Shoes,5,2580.63,30-01-2021,Kanyon
I147727,C163033,Books,1,4121.3,17-04-2022,Kanyon
I504141,C558480,Cosmetics,1,3423.95,23-02-2023,Kanyon
I246151,C287409,Books,3,9699.84,05-07-2021,Metropol AVM
I164675,C993675,Books,5,4787.3,31-08-2021,Kanyon
I606511,C307535,Souvenir,2,6876.53,09-09-2022,Viaport Outlet
I342816,C238961,Food & Beverage,2,9517.14,04-11-2021,Mall of Istanbul
I151764,C671866,Clothing,5,6666.31,30-06-2022,Kanyon
I226172,C171154,Shoes,1,6864.91,24-07-2021,Kanyon
I737630,C848969,Clothing,5,2316.59,15-04-2022,Metropol AVM
I891311,C240171,Food & Beverage,2,530.32,25-09-2021,Metropol AVM
I127733,C665777,Books,5,9015.24,24-08-2021,Kanyon
I202398,C256730,Shoes,5,4173.43,26-01-2021,Zorlu Center
I160585,C298229,Cosmetics,2,2906.7,05-02-2022,Metropol AVM
I771414,C183404,Food & Beverage,3,5299.38,09-12-2022,Forum Istanbul
I139520,C316398,Clothing,5,440.9,14-02-2021,Mall of Istanbul
I291540,C557245,Food & Beverage,1,5323.04,17-07-2022,Kanyon
I798213,C662958,Shoes,3,2768.33,03-01-2021,Metropol AVM
I232338,C545065,Clothing,4,911.43,22-09-2022,Metropol AVM
I267713,C284679,Cosmetics,4,8326.96,27-06-2021,Kanyon
I525798,C581947,Cosmetics,4,120.34,03-02-2023,Mall of Istanbul
I353272,C199311,Clothing,1,2610.22,29-07-2021,Istinye Park
I165687,C206501,Clothing,3,782.39,08-12-2022,Metropol AVM
I169015,C726021,Clothing,5,6607.8,11-08-2022,Mall of Istanbul
I111305,C448846,Food & Beverage,3,7291.44,13-09-2021,Metropol AVM
I187171,C168663,Toys,4,7445.31,27-05-2022,Istinye Park
I148276,C616106,Clothing,4,2611.18,07-12-2022,Zorlu Center
I783231,C771066,Clothing,5,2303.1,05-01-2022,Cevahir AVM
I313426,C101196,Cosmetics,4,7700.93,05-04-2022,Kanyon
I112291,C898405,Food & Beverage,1,6060.91,10-01-2022,Cevahir AVM
I402983,C372643,Technology,1,6352.66,30-01-2022,Kanyon
I155076,C195626,Toys,5,307.69,21-12-2022,Kanyon
I204056,C622748,Clothing,4,7602.58,24-02-2021,Metropol AVM
I218385,C290280,Toys,1,5782.77,19-07-2022,Metrocity
I198698,C281268,Clothing,1,4006.44,15-01-2023,Metropol AVM
I428118,C826744,Shoes,2,190.91,12-01-2023,Kanyon
I204147,C252021,Shoes,3,488.12,05-11-2022,Kanyon
I361028,C647656,Shoes,2,6030.18,23-07-2021,Metrocity
I915945,C250065,Clothing,4,4071.36,30-06-2022,Metropol AVM
I165461,C230766,Clothing,1,8394.0,01-11-2022,Emaar Square Mall
I762381,C243515,Shoes,1,3944.7,27-10-2022,Kanyon
I818298,C204632,Clothing,5,5076.45,21-08-2022,Kanyon
I261290,C252598,Clothing,3,4317.54,13-03-2021,Cevahir AVM
I215578,C866033,Cosmetics,2,4302.79,04-08-2022,Kanyon
I136666,C288416,Food & Beverage,2,9945.86,01-04-2021,Mall of Istanbul
I120948,C340089,Shoes,4,785.23,08-08-2021,Mall of Istanbul
I173679,C555040,Technology,3,7986.45,28-06-2021,Viaport Outlet
I638275,C809281,Clothing,5,5168.77,25-01-2021,Emaar Square Mall
I551237,C375325,Clothing,4,9910.23,22-11-2021,Metropol AVM
I239285,C155335,Cosmetics,3,9975.76,13-11-2022,Viaport Outlet
I723062,C225051,Clothing,4,6202.33,12-08-2022,Kanyon
I353329,C635016,Toys,2,383.51,18-09-2022,Metrocity
I321920,C165705,Clothing,4,4424.16,08-06-2021,Mall of Istanbul
I176115,C709571,Cosmetics,4,708.48,30-08-2021,Viaport Outlet
I251743,C851508,Toys,3,7373.2,19-06-2022,Kanyon
I964173,C184126,Clothing,3,4509.44,15-12-2022,Emaar Square Mall
I334389,C233642,Cosmetics,2,3552.45,29-12-2021,Mall of Istanbul
I251855,C258410,Cosmetics,3,1285.52,19-06-2022,Cevahir AVM
I985808,C270667,Books,5,3787.46,16-06-2021,Emaar Square Mall
I224565,C321527,Shoes,1,499.37,07-02-2021,Emaar Square Mall
I239703,C109489,Food & Beverage,3,9294.67,17-01-2023,Kanyon
I156413,C103824,Cosmetics,5,8631.5,20-01-2022,Metrocity
I158683,C126571,Souvenir,2,9829.64,31-07-2022,Metrocity
I983860,C169676,Shoes,1,556.96,30-09-2021,Metropol AVM
I119809,C321889,Food & Beverage,1,5654.6,06-04-2022,Zorlu Center
I319942,C212128,Cosmetics,5,9264.33,14-11-2022,Mall of Istanbul
I133278,C301271,Clothing,3,9280.56,24-02-2021,Metrocity
I252084,C221995,Souvenir,4,6877.31,25-05-2021,Metrocity
I182889,C318802,Clothing,2,3285.43,22-03-2021,Metrocity
I106271,C263812,Clothing,1,3674.01,22-12-2022,Mall of Istanbul
I112481,C321609,Food & Beverage,5,474.23,07-07-2021,Cevahir AVM
I240751,C666013,Food & Beverage,1,6787.41,18-09-2021,Kanyon
I282789,C172185,Cosmetics,2,4206.8,18-02-2022,Istinye Park
I676291,C150463,Food & Beverage,2,9602.02,13-06-2021,Metropol AVM
I827069,C274529,Toys,5,2836.86,30-05-2021,Mall of Istanbul
I242823,C242659,Clothing,4,74.51,26-03-2021,Metropol AVM
I208631,C194451,Technology,2,4550.14,27-07-2022,Kanyon
I139308,C252600,Souvenir,2,9286.29,06-04-2022,Emaar Square Mall
I177201,C309645,Clothing,5,7176.89,04-02-2022,Forum Istanbul
I263818,C336232,Souvenir,4,1728.76,26-06-2022,Zorlu Center
I174966,C325906,Food & Beverage,5,2887.75,25-07-2022,Mall of Istanbul
I186896,C138755,Toys,1,8722.56,19-09-2021,Zorlu Center
I207465,C296745,Clothing,2,6559.31,10-10-2022,Istinye Park
I191148,C221838,Technology,2,1510.96,29-03-2022,Forum Istanbul
I159487,C104985,Clothing,1,656.12,09-07-2021,Emaar Square Mall
I215141,C826514,Souvenir,1,6497.74,25-01-2022,Kanyon
I235828,C267333,Books,5,9621.74,14-12-2021,Metrocity
I281274,C130479,Clothing,1,8248.94,04-09-2022,Kanyon
I135898,C310108,Toys,2,9730.13,14-08-2022,Metropol AVM
I943072,C358486,Cosmetics,2,8062.34,03-02-2022,Metrocity
I142738,C208738,Clothing,4,662.16,03-01-2021,Kanyon
I304665,C111056,Food & Beverage,5,5425.53,05-12-2021,Metropol AVM
I133240,C999586,Toys,3,2811.0,14-06-2022,Zorlu Center
I215906,C296862,Clothing,4,1534.41,13-08-2021,Mall of Istanbul
I247747,C101550,Shoes,2,4537.01,11-01-2022,Istinye Park
I227154,C278142,Cosmetics,3,5197.39,22-12-2021,Kanyon
I133197,C330779,Cosmetics,2,2935.11,04-02-2021,Forum Istanbul
I542618,C282968,Cosmetics,3,7280.44,22-02-2022,Emaar Square Mall
I522612,C852668,Toys,3,5366.59,14-09-2021,Kanyon
I336817,C274936,Clothing,1,7397.67,03-08-2021,Cevahir AVM
I216982,C269751,Souvenir,4,9304.16,02-01-2023,Metrocity
I317443,C136051,Toys,1,5817.04,23-11-2022,Mall of Istanbul
I115679,C266462,Clothing,1,6030.14,10-01-2023,Kanyon
I227707,C329163,Shoes,4,3838.68,10-01-2022,Viaport Outlet
I238456,C305398,Food & Beverage,1,8347.7,06-08-2022,Kanyon
I940840,C267961,Cosmetics,2,555.75,19-02-2023,Istinye Park
I298805,C101248,Food & Beverage,3,5937.95,29-06-2021,Kanyon
I169894,C165812,Clothing,2,8539.92,01-07-2021,Istinye Park
I183571,C339518,Food & Beverage,1,4793.44,07-02-2022,Metrocity
I921232,C235057,Toys,2,2803.79,10-10-2021,Cevahir AVM
I130799,C103944,Clothing,3,9147.7,30-06-2021,Metrocity
I199384,C260889,Books,4,7678.79,24-03-2022,Kanyon
I300557,C207753,Cosmetics,3,8448.88,17-09-2022,Istinye Park
I162186,C204154,Cosmetics,2,7428.31,31-07-2021,Istinye Park
I299125,C290344,Souvenir,4,590.6,21-11-2022,Kanyon
I720017,C730395,Food & Beverage,2,3394.2,04-09-2022,Kanyon
I293086,C312155,Cosmetics,3,3663.45,18-02-2021,Kanyon
I995407,C259743,Souvenir,3,6949.51,21-03-2021,Metropol AVM
I306845,C605200,Food & Beverage,4,1977.33,02-09-2022,Mall of Istanbul
I274190,C317850,Toys,3,7604.83,16-06-2021,Metropol AVM
I305432,C986860,Toys,3,4471.14,26-01-2023,Mall of Istanbul
I224122,C236428,Clothing,5,8752.42,01-07-2022,Mall of Istanbul
I119142,C278588,Cosmetics,5,666.79,25-01-2023,Cevahir AVM
I117526,C154184,Cosmetics,5,9779.23,23-09-2022,Emaar Square Mall
I195735,C287459,Clothing,1,1334.94,08-09-2021,Kanyon
I243930,C617884,Technology,3,5478.32,31-10-2022,Istinye Park
I320007,C294024,Clothing,5,3224.91,18-10-2021,Metrocity
I339004,C790567,Clothing,4,6475.82,15-07-2022,Mall of Istanbul
I139437,C799447,Souvenir,5,1700.13,31-05-2021,Mall of Istanbul
I325491,C144628,Shoes,2,9613.42,22-12-2021,Kanyon
I332582,C260810,Souvenir,5,4989.71,28-10-2022,Metropol AVM
I976566,C670524,Cosmetics,1,1979.13,13-06-2021,Forum Istanbul
I420592,C334281,Food & Beverage,4,8844.39,25-09-2022,Kanyon
I312499,C314173,Books,1,4278.71,18-08-2021,Mall of Istanbul
I304591,C122712,Food & Beverage,2,2284.65,16-09-2021,Kanyon
I122118,C276111,Cosmetics,5,7018.79,15-11-2022,Metrocity
I297539,C277924,Food & Beverage,3,7114.88,07-08-2021,Mall of Istanbul
I339496,C286466,Clothing,1,2533.9,25-05-2021,Metropol AVM
I160687,C327001,Clothing,2,9265.01,12-07-2022,Istinye Park
I153842,C509924,Food & Beverage,3,6554.44,14-09-2022,Forum Istanbul
I615452,C453635,Shoes,1,5589.07,06-03-2022,Metrocity
I908600,C259539,Cosmetics,4,1249.42,23-02-2023,Forum Istanbul
I708279,C729392,Cosmetics,3,8786.35,25-06-2021,Emaar Square Mall
I328691,C280085,Clothing,2,8964.52,31-07-2022,Metrocity
I423782,C767634,Cosmetics,2,360.44,08-04-2021,Mall of Istanbul
I123315,C230018,Clothing,2,2115.56,01-04-2021,Zorlu Center
I182578,C238063,Shoes,4,5090.25,13-02-2022,Kanyon
I403818,C308584,Books,5,3946.9,15-06-2022,Viaport Outlet
I508712,C216619,Toys,3,6061.72,19-07-2022,Mall of Istanbul
I959992,C241523,Food & Beverage,3,7444.32,01-07-2022,Metrocity
I279688,C209761,Clothing,1,3819.3,19-06-2021,Cevahir AVM
I300847,C329153,Toys,5,4842.09,11-01-2022,Istinye Park
I170966,C126702,Food & Beverage,5,6237.92,05-12-2022,Istinye Park
I230221,C287787,Clothing,1,6576.22,21-04-2021,Metropol AVM
I317354,C142943,Clothing,1,595.19,10-11-2021,Metropol AVM
I155404,C100484,Toys,4,1250.59,19-09-2022,Metrocity
I151181,C260213,Clothing,2,7947.07,18-01-2021,Emaar Square Mall
I144046,C210589,Shoes,1,7173.84,21-04-2022,Kanyon
I959386,C885556,Shoes,1,4646.36,25-11-2022,Mall of Istanbul
I737965,C944366,Clothing,5,2409.38,09-11-2022,Kanyon
I194017,C462011,Technology,5,6970.67,03-01-2022,Kanyon
I252777,C262366,Clothing,2,1924.8,19-02-2022,Zorlu Center
I254142,C212400,Shoes,3,7172.84,15-12-2022,Emaar Square Mall
I120850,C204307,Clothing,2,2261.74,08-11-2021,Metrocity
I220285,C162871,Food & Beverage,4,2388.51,01-05-2022,Kanyon
I180980,C119825,Clothing,2,3988.21,14-04-2021,Forum Istanbul
I301451,C260171,Cosmetics,5,7641.22,28-06-2021,Kanyon
I125700,C244973,Shoes,5,5462.72,10-06-2022,Forum Istanbul
I533062,C208765,Clothing,3,2775.24,12-05-2022,Mall of Istanbul
I998874,C321053,Clothing,5,5595.55,27-12-2022,Mall of Istanbul
I325619,C183356,Food & Beverage,1,5009.14,16-08-2021,Kanyon
I200646,C155763,Food & Beverage,2,8194.92,05-03-2021,Kanyon
I337094,C567509,Technology,1,864.29,09-02-2023,Zorlu Center
I436935,C486241,Cosmetics,4,5911.35,26-02-2023,Istinye Park
I585560,C306892,Shoes,2,4002.51,17-02-2023,Mall of Istanbul
I191967,C266819,Cosmetics,5,5280.53,08-08-2022,Kanyon
I304567,C317897,Souvenir,2,5642.31,08-03-2023,Forum Istanbul
I232809,C545424,Shoes,5,7000.43,02-10-2021,Metrocity
I157441,C224223,Food & Beverage,4,7823.46,22-12-2021,Mall of Istanbul
I591015,C286181,Clothing,1,4144.2,12-09-2021,Metrocity
I219334,C144371,Shoes,4,9520.25,23-03-2022,Kanyon
I162719,C402433,Clothing,5,3307.68,11-12-2021,Emaar Square Mall
I237375,C297425,Books,1,5298.73,29-12-2022,Istinye Park
I289611,C222906,Clothing,3,4985.39,08-03-2023,Cevahir AVM
I217650,C236397,Food & Beverage,3,488.57,10-02-2021,Forum Istanbul
I214129,C309079,Clothing,1,7272.35,10-05-2021,Metrocity
I300799,C116633,Food & Beverage,3,9185.69,06-03-2022,Metropol AVM
I163771,C259606,Toys,4,6293.14,29-03-2021,Mall of Istanbul
I252528,C333065,Technology,5,2194.99,04-10-2022,Cevahir AVM
I147387,C211494,Clothing,5,2846.98,04-11-2021,Mall of Istanbul
I186255,C302831,Clothing,1,5663.73,08-11-2022,Kanyon
I308341,C282397,Clothing,4,7137.55,17-05-2021,Istinye Park
